51 20 17 131 193 71 38 92 26 
51 184 5 78 4 101 102 42 26 
51 136 180 133 70 109 103 86 26 
51 184 185 78 104 174 149 52 26 
51 184 197 91 130 64 141 52 26 
51 20 191 95 70 74 38 152 26 
51 184 5 7 198 62 18 42 26 
51 184 121 122 45 101 102 42 26 
51 184 5 78 46 149 52 26 
51 184 185 11 46 90 80 26 
51 184 197 129 178 62 163 183 26 
51 184 185 78 168 109 195 33 26 
51 184 197 53 43 55 90 40 26 
51 184 5 7 198 62 82 52 26 
51 184 85 78 46 67 117 152 26 
51 184 5 7 198 62 18 183 26 
51 20 17 98 119 74 200 152 26 
51 136 180 34 106 140 200 132 26 
51 136 180 34 106 67 40 26 
51 136 180 34 158 60 135 26 
51 184 121 129 49 62 163 135 26 
51 136 180 133 156 2 103 92 26 
51 136 180 153 156 97 195 92 26 
51 136 180 171 104 174 141 80 26 
51 184 185 95 70 60 103 88 26 
51 136 180 171 8 168 67 135 26 
51 20 17 131 193 16 83 80 26 
51 184 197 129 49 174 141 52 26 
51 184 121 166 147 111 9 18 52 26 
51 136 180 11 55 149 80 26 
51 136 180 66 176 164 103 33 26 
51 20 17 131 193 71 195 33 26 
51 184 197 27 198 62 163 40 26 
51 184 5 7 49 138 18 183 26 
51 136 180 153 193 97 195 33 26 
51 20 17 131 193 74 200 132 26 
51 184 5 182 198 62 141 80 26 
51 184 121 166 187 101 102 42 26 
51 136 180 133 156 164 103 196 26 
51 136 180 153 94 60 135 26 
51 136 180 34 156 164 103 196 26 
51 184 197 91 43 174 102 80 26 
51 20 17 98 119 74 128 33 26 
51 136 180 11 46 174 141 42 26 
51 184 121 129 178 62 163 183 26 
51 136 180 131 66 169 83 139 26 
51 184 197 129 49 62 82 40 26 
51 20 17 98 119 25 200 132 26 
51 20 17 131 193 188 148 80 26 
51 136 180 11 32 64 149 42 26 
51 20 191 48 36 64 149 12 26 
51 20 17 173 193 116 128 40 26 
51 20 17 131 193 74 128 159 26 
51 184 5 182 198 62 82 135 26 
51 184 5 91 43 64 90 40 26 
51 184 121 166 187 174 141 12 26 
51 184 121 129 178 62 18 183 26 
51 136 180 95 94 67 149 42 26 
51 184 85 95 70 74 200 132 26 
51 184 161 95 153 188 67 40 26 
51 20 191 95 94 60 103 33 26 
51 184 161 11 181 109 135 26 
51 20 17 131 193 116 83 80 26 
51 184 197 129 178 138 18 42 26 
51 184 161 95 168 60 135 26 
51 184 197 129 178 62 163 135 26 
51 184 5 182 157 174 149 52 26 
51 184 5 7 104 57 63 86 26 
51 136 180 173 193 97 195 159 26 
51 20 17 173 66 199 148 40 26 
51 136 180 153 94 67 135 26 
51 184 121 122 187 174 141 40 26 
51 184 5 78 46 90 40 26 
51 136 180 34 94 148 40 26 
51 184 5 7 198 62 82 42 26 
51 136 180 11 55 109 103 81 26 
51 184 197 129 178 62 163 42 26 
51 136 180 34 156 22 200 132 26 
51 184 121 122 147 174 149 52 26 
51 136 180 133 156 140 117 86 26 
51 184 121 27 178 62 163 40 26 
51 136 180 133 156 140 117 42 26 
51 184 161 48 68 46 149 80 26 
51 184 197 91 155 101 102 12 26 
51 136 180 133 156 140 117 30 26 
51 136 180 153 156 97 195 159 26 
51 20 17 131 44 25 200 132 26 
51 15 72 171 104 57 63 12 26 
51 184 185 78 93 89 63 135 26 
51 136 180 11 87 64 90 42 26 
51 184 197 27 198 62 141 52 26 
51 136 180 171 32 174 102 52 26 
51 20 17 98 119 74 195 92 26 
51 184 121 27 130 55 148 40 26 
51 20 17 170 119 74 200 132 26 
51 20 17 131 44 25 200 152 26 
51 136 180 34 106 67 177 183 26 
51 184 161 95 94 148 40 26 
51 184 121 27 130 174 102 42 26 
51 20 17 173 193 71 200 132 26 
51 136 180 153 176 164 103 86 26 
51 136 180 66 169 60 135 26 
51 20 17 131 193 97 195 132 26 
51 136 180 131 193 16 128 139 26 
51 184 197 91 4 64 149 42 26 
51 20 17 173 193 35 128 33 26 
51 136 180 66 79 116 195 88 26 
51 184 197 27 198 138 10 52 26 
51 136 180 133 70 60 103 30 26 
51 184 121 166 147 64 149 40 26 
51 136 180 66 199 90 40 26 
51 184 5 7 178 138 102 42 26 
51 184 197 27 49 138 18 183 26 
51 184 5 7 155 174 149 40 26 
51 184 5 78 168 67 135 26 
51 184 185 48 155 174 102 42 26 
51 136 180 11 106 164 195 159 26 
51 184 197 27 198 138 18 183 26 
51 20 17 173 21 25 200 152 26 
51 136 180 11 94 67 80 26 
51 15 154 78 46 149 52 26 
51 136 180 133 156 2 103 81 26 
51 136 180 153 68 55 149 52 26 
51 136 180 153 188 67 80 26 
51 136 180 34 188 164 103 81 26 
51 184 5 78 46 149 42 26 
51 20 17 131 193 74 195 152 26 
51 136 180 153 176 140 103 81 26 
51 184 5 53 43 64 102 52 26 
51 184 5 7 157 54 9 163 183 26 
51 20 17 173 193 116 83 139 26 
51 15 107 91 130 174 102 80 26 
51 20 17 131 193 35 128 152 26 
51 20 17 131 193 116 148 40 26 
51 184 121 122 76 101 102 12 26 
51 20 17 98 59 137 190 103 92 26 
51 20 17 98 119 74 195 135 26 
51 136 180 34 94 67 177 160 26 
51 184 121 129 36 55 149 12 26 
51 136 180 11 94 46 90 42 26 
51 136 180 153 94 148 40 26 
51 184 5 182 32 174 149 12 26 
51 184 161 95 66 199 90 42 26 
51 184 191 95 158 140 200 132 26 
51 184 121 122 187 101 102 42 26 
51 184 197 27 49 62 163 40 26 
51 136 180 153 181 148 135 26 
51 184 5 78 46 149 80 26 
51 184 5 78 36 174 102 12 26 
51 136 180 66 169 90 117 30 26 
51 20 17 131 193 35 128 40 26 
51 136 180 153 188 60 103 33 26 
51 184 5 182 198 62 82 42 26 
51 136 180 34 126 140 195 92 26 
51 136 180 95 158 140 117 152 26 
51 20 17 131 193 35 128 88 26 
51 136 180 66 79 125 38 152 26 
51 184 197 27 198 138 149 80 26 
51 136 180 66 176 116 195 135 26 
51 136 180 153 176 116 83 135 183 26 
51 136 180 34 156 140 117 88 26 
51 184 121 27 178 138 18 183 26 
51 184 5 182 198 138 18 52 26 
51 184 185 48 36 174 149 52 26 
51 136 180 11 46 90 42 26 
51 184 161 78 104 174 149 42 26 
51 20 17 98 119 74 128 152 26 
51 136 180 11 55 109 117 132 26 
51 136 180 11 104 57 63 42 26 
51 184 185 48 104 57 63 12 26 
51 136 180 131 193 97 195 33 26 
51 136 180 66 11 46 149 40 26 
51 184 121 27 198 62 163 183 26 
51 184 5 182 32 174 149 42 26 
51 184 5 7 8 46 90 40 26 
51 136 180 34 193 74 195 92 26 
51 20 191 48 8 174 149 52 26 
51 20 17 131 193 116 195 152 26 
51 20 17 131 119 25 200 152 26 
51 184 5 7 198 62 149 52 26 
51 136 180 133 156 164 117 86 26 
51 136 180 34 188 60 38 92 26 
51 184 5 7 198 62 163 42 26 
51 184 197 129 178 62 82 135 26 
51 136 180 153 176 164 117 132 26 
51 184 185 78 46 149 80 26 
51 136 180 66 169 90 135 26 
51 20 191 95 87 174 141 12 26 
51 136 180 153 106 109 135 26 
51 136 180 11 106 148 135 26 
51 136 180 153 106 67 177 30 26 
51 136 180 131 193 35 83 24 183 26 
