15 51 91 4 49 76 64 90 100 25 
15 20 11 67 47 38 88 25 
15 65 54 11 12 24 1 49 48 95 64 60 25 
15 20 11 67 44 38 88 25 
15 7 11 67 24 89 37 25 
15 54 1 24 74 81 88 25 
15 43 91 27 76 95 37 63 77 25 
15 45 91 27 48 95 64 90 25 
15 54 78 75 48 95 37 25 
15 91 27 76 64 60 14 25 
15 91 27 76 64 90 16 25 
15 61 54 11 12 74 81 25 
15 54 1 24 89 35 16 25 
15 61 4 62 89 14 25 
15 23 84 46 12 80 2 83 25 
15 91 27 19 96 64 90 100 25 
15 7 36 62 89 83 86 25 
15 65 54 1 24 38 88 25 
15 54 46 11 12 71 69 25 
15 20 4 73 48 95 37 25 
15 20 85 1 24 71 69 25 
15 20 46 12 44 74 81 25 
15 20 7 46 12 71 69 25 
15 43 78 4 27 76 64 60 25 
15 7 46 12 44 74 69 25 
15 91 85 62 89 37 25 
15 20 46 12 74 81 25 
15 23 11 67 44 74 81 25 
15 65 23 11 12 80 63 86 25 
15 54 1 24 2 40 25 
15 20 46 12 38 81 16 25 
15 54 46 12 38 77 25 
15 54 1 24 89 81 88 25 
15 65 54 84 46 12 74 81 25 
15 54 1 24 71 26 77 25 
15 7 85 62 89 81 35 25 
15 20 78 75 48 95 37 100 25 
15 50 36 62 89 35 25 
15 29 4 75 68 89 83 25 
15 23 78 75 9 8 64 60 25 
15 54 85 1 24 71 69 25 
15 91 85 46 12 71 69 25 
15 91 4 53 76 64 60 81 25 
15 54 4 62 89 37 25 
15 23 78 4 73 76 64 90 25 
15 61 36 62 89 16 40 25 
15 91 4 53 76 95 37 25 
15 23 78 1 24 38 88 25 
15 54 11 12 38 69 25 
15 7 11 67 47 74 81 25 
15 23 11 12 74 69 25 
15 20 11 67 82 74 69 25 
15 65 85 1 24 2 69 25 
15 7 36 62 89 26 86 25 
15 23 36 62 89 69 25 
15 91 4 58 76 64 90 16 25 
15 54 84 46 12 38 81 25 
15 91 27 49 68 89 14 25 
15 91 27 19 96 64 90 25 
15 23 36 1 24 89 14 25 
15 91 27 76 95 64 90 25 
15 20 78 1 24 74 69 25 
15 61 4 49 76 95 37 25 
15 23 36 1 24 38 88 25 
15 7 11 67 97 30 38 88 25 
15 54 1 24 74 69 14 25 
15 91 4 1 24 89 81 25 
15 65 91 27 48 5 64 90 25 
15 43 78 75 62 89 83 25 
15 20 11 12 24 2 37 52 25 
15 43 46 12 80 63 35 25 
15 23 11 12 74 63 60 25 
15 20 11 67 24 89 81 25 
15 20 11 67 47 74 81 25 
15 20 78 75 73 76 64 90 25 
15 91 27 19 72 95 37 25 
15 20 4 58 9 96 64 60 25 
15 23 20 11 12 38 89 62 48 13 64 60 25 
15 7 36 1 24 2 35 25 
15 45 36 62 89 16 25 
15 54 4 49 68 89 81 25 
15 91 4 62 89 40 25 
15 54 1 24 74 2 88 25 
15 50 23 85 1 24 89 81 25 
15 61 4 1 24 2 35 25 
15 50 36 62 89 40 25 
15 7 36 62 89 35 25 
15 29 46 12 74 81 25 
15 91 27 49 68 89 16 25 
